stcd,1920,1930,1940,1950,1960,1970,1980,1990,2000,2010,2020,,,,Floor,Geom Mean,Arith Mean,Quota,,,,794110,,2,,,
ND,646872,680845,641935,619636,632446,624181,652695,641364,643756,675905,765309,779702,1.88%,,1,1.414213562,1.5,1.024348326,0.024348326,1,,1.02189747,1,0,-0.389865237,1,0
NV,77407,91058,110247,160083,285278,492396,799184,1206152,2002032,2709432,3138259,3108462,-0.95%,,4,4.472135955,4.5,4.083801049,0.083801049,4,,4.074030147,4,0,-0.388334906,4,0
TN,2337885,2616556,2915841,3291718,3567089,3961060,4590750,4896641,5700037,6375431,6886834,6916897,0.44%,,9,9.486832981,9.5,9.087204934,0.087204934,9,,9.065462888,9,0,-0.399628047,9,0
GA,2895832,2908506,3123723,3444578,3943116,4627306,5464265,6508419,8206975,9727566,10710017,10725274,0.14%,,14,14.49137675,14.5,14.09053262,0.09053262,14,,14.05681961,14,0,-0.400844126,14,0
MO,3404055,3629367,3784664,3954653,4319813,4718034,4917444,5137804,5606260,6011478,6151548,6160281,0.14%,,8,8.485281374,8.5,8.093186279,0.093186279,8,,8.073822522,8,0,-0.392095095,8,0
PA,8720017,9631350,9900180,10498012,11319366,11884314,11866728,11924710,12300670,12734905,12783254,13011844,1.79%,,17,17.49285568,17.5,17.09455743,0.094557428,17,,17.05365699,17,0,-0.398298256,17,0
LA,1798509,2101593,2363880,2683516,3257022,3672008,4203972,4238216,4480271,4553962,4645318,4661468,0.35%,,6,6.480740698,6.5,6.124092206,0.124092206,6,,6.109439703,6,0,-0.356648492,6,0
MD,1449661,1631526,1821244,2343001,3100689,3953698,4216446,4798622,5307886,5789929,6055802,6185278,2.14%,,8,8.485281374,8.5,8.126026563,0.126026563,8,,8.106584233,8,0,-0.359254811,8,0
WA,1356621,1563396,1736191,2378963,2853214,3443487,4130163,4887941,5908684,6753369,7693612,7715946,0.29%,,10,10.48808848,10.5,10.13697075,0.136970748,10,,10.11271703,10,0,-0.351117733,10,0
SD,636547,692849,642961,652740,680514,673247,690178,699999,756874,819761,892717,887770,-0.55%,,1,1.414213562,1.5,1.166324715,0.166324715,1,,1.163534167,1,0,-0.247888847,1,0
IA,2404021,2470939,2538268,2621073,2757537,2846920,2913387,2787424,2931923,3053787,3163561,3192406,0.91%,,4,4.472135955,4.5,4.194084075,0.194084075,4,,4.184049309,4,0,-0.27805188,4,0
OK,2028283,2396040,2336434,2233351,2328284,2585486,3025266,3157604,3458819,3764882,3980783,3963516,-0.43%,,5,5.477225575,5.5,5.207144497,0.207144497,5,,5.194685883,5,0,-0.270081078,5,0
NJ,3155900,4041334,4160165,4835329,6066782,7208035,7364158,7748634,8424354,8807501,8882371,9294493,4.64%,,12,12.489996,12.5,12.21081688,0.21081688,12,,12.18160128,12,0,-0.279179117,12,0
MA,3852356,4249614,4316721,4690514,5148578,5726676,5737037,6029051,6355568,6559644,6893574,7033469,2.03%,,9,9.486832981,9.5,9.240353615,0.240353615,9,,9.218245145,9,0,-0.246479366,9,0
MI,3668412,4842325,5256106,6371766,7823194,8937196,9258344,9328784,9955829,9911626,9966555,10084442,1.18%,,13,13.49073756,13.5,13.2486274,0.248627397,13,,13.21692873,13,0,-0.242110166,13,0
DE,223003,238380,266505,318085,446292,551928,595225,668696,785068,900877,986809,990837,0.41%,,1,1.414213562,1.5,1.301730946,0.301730946,1,,1.298616425,1,0,-0.112482616,1,0
UT,449396,507847,550310,688862,890627,1067810,1461037,1727784,2236714,2770765,3249879,3275252,0.78%,,4,4.472135955,4.5,4.302924582,0.302924582,4,,4.292629405,4,0,-0.169211373,4,0
FL,968470,1468211,1897414,2771305,4951560,6855702,9739992,13003362,16028890,18900773,21733312,21570527,-0.75%,,28,28.4956137,28.5,28.33868993,0.338689932,28,,28.27088678,28,0,-0.156923766,28,0
TX,4663228,5824715,6414824,7711194,9579677,11298787,14228283,17059805,20903994,25268418,29360759,29183290,-0.60%,,38,38.49675311,38.5,38.34010205,0.340102052,38,,38.24836953,38,0,-0.156651057,38,0
WV,1463701,1729205,1901974,2005552,1860421,1763331,1949644,1801625,1813077,1859815,1784787,1795045,0.57%,,2,2.449489743,2.5,2.358274495,0.358274495,2,,2.352632088,2,0,-0.091215248,2,0
VA,2309187,2421851,2677773,3318680,3966949,4690742,5346279,6216568,7100702,8037736,8590563,8654542,0.74%,,11,11.48912529,11.5,11.37006909,0.370069087,11,,11.34286506,11,0,-0.119056206,11,0
AZ,334162,435573,499261,749587,1302161,1787620,2717866,3677985,5140683,6412700,7421401,7158923,-3.54%,,9,9.486832981,9.5,9.405171192,0.405171192,9,,9.382668381,9,0,-0.081661788,9,0
ID,431866,445032,524873,588637,667191,719921,943935,1011986,1297274,1573499,1826913,1841377,0.79%,,2,2.449489743,2.5,2.419144041,0.419144041,2,,2.413355997,2,0,-0.030345702,2,0
MT,548889,537606,559456,591024,674767,701573,786690,803655,905316,994416,1080577,1085407,0.45%,159.3001838,1,1.414213562,1.5,1.425974081,0.425974081,2,X,1.422562296,2,0,0.011760519,1,-1
RI,604397,687497,713346,791896,859488,957798,947154,1005984,1049662,1055247,1057125,1098163,3.88%,,1,1.414213562,1.5,1.442732519,0.442732519,2,X,1.439280637,2,0,0.028518956,1,-1
MN,2387125,2563953,2792300,2982483,3413864,3833173,4077148,4387029,4925670,5314879,5657342,5709752,0.93%,,7,7.483314774,7.5,7.50129524,0.50129524,8,X,7.483347642,8,0,0.017980467,8,0
OH,5759394,6646697,6907612,7946627,9706397,10730200,10797419,10887325,11374540,11568495,11693217,11808848,0.99%,,15,15.49193338,15.5,15.51409856,0.514098563,16,X,15.47697953,15,1,0.022165178,16,1
NY,10385227,12588066,13479142,14830192,16782304,18287529,17557288,18044505,19004973,19421055,19336776,20215751,4.55%,#DIV/0!,26,26.4952826,26.5,26.55882721,0.558827206,27,X,26.49528256,26,1,0.063544607,27,1
OR,783389,953786,1089684,1521341,1768687,2110810,2632663,2853733,3428543,3848606,4241507,4241500,0.00%,,5,5.477225575,5.5,5.572351262,0.572351262,6,X,5.559018855,6,0,0.095125687,6,0
NE,1296372,1377963,1315834,1325510,1411330,1496820,1570006,1584617,1715369,1831825,1937552,1963333,1.33%,,2,2.449489743,2.5,2.579366054,0.579366054,3,X,2.573194663,3,0,0.129876312,3,0
CO,939629,1035791,1123296,1325089,1753947,2226771,2888834,3307912,4311882,5044930,5807719,5782171,-0.44%,,7,7.483314774,7.5,7.596437078,0.596437078,8,X,7.578261844,8,0,0.113122305,8,0
AL,2348174,2646248,2832961,3061743,3266740,3475885,3890061,4062608,4461130,4802982,4921532,5030053,2.21%,,6,6.480740698,6.5,6.608327757,0.608327757,7,X,6.592516673,7,0,0.127587059,7,0
SC,1683724,1738765,1899804,2117027,2382594,2617320,3119208,3505707,4025061,4645975,5218040,5124712,-1.79%,,6,6.480740698,6.5,6.732687818,0.732687818,7,X,6.71657919,7,0,0.25194712,7,0
NC,2559123,3170276,3571623,4061929,4556155,5125230,5874429,6657630,8067673,9565781,10600823,10453948,-1.39%,,13,13.49073756,13.5,13.73407293,0.734072929,14,X,13.70121279,14,0,0.243335366,14,0
CT,1380631,1606903,1709242,2007280,2535234,3050693,3107576,3295669,3409535,3581628,3557006,3608298,1.44%,,4,4.472135955,4.5,4.740470096,0.740470096,5,X,4.729128048,5,0,0.268334141,5,0
WI,2632067,2939006,3137587,3434575,3951777,4447013,4705335,4906745,5371210,5698230,5832655,5897473,1.11%,,7,7.483314774,7.5,7.747917273,0.747917273,8,X,7.729379607,8,0,0.264602499,8,0
WY,194402,225565,250742,290529,330066,335719,470816,455975,495304,568300,582328,577719,-0.79%,,0,1,0.5,0.758989319,0.758989319,1,X,0.757173362,1,0,-0.241010681,1,0
NM,360350,423317,531818,681187,951023,1026664,1299968,1521779,1823821,2067273,2106319,2120220,0.66%,,2,2.449489743,2.5,2.785479333,0.785479333,3,X,2.778814796,3,0,0.335989591,3,0
ME,768014,797423,847226,913774,969265,1006320,1124660,1233223,1277731,1333074,1350141,1363582,1.00%,,1,1.414213562,1.5,1.791431776,0.791431776,2,X,1.787145597,2,0,0.377218214,2,0
NH,443083,465293,491524,533242,606921,746284,920610,1113915,1238415,1321445,1366275,1379089,0.94%,,1,1.414213562,1.5,1.811804392,0.811804392,2,X,1.807469469,2,0,0.39759083,2,0
VT,352428,359611,359231,377747,389881,448327,511456,564964,609890,630337,623347,643503,3.23%,,0,1,0.5,0.8454143,0.8454143,1,X,0.843391562,1,0,-0.1545857,1,0
IL,6485280,7630654,7897241,8712176,10081158,11184320,11418461,11466682,12439042,12864380,12587530,12822739,1.87%,,16,16.4924225,16.5,16.84611714,0.846117139,17,X,16.80581112,17,0,0.353694637,17,0
KS,1769257,1880999,1801028,1905299,2178611,2265846,2363208,2485600,2693824,2863813,2913805,2940865,0.93%,,3,3.464101615,3.5,3.863617304,0.863617304,4,X,3.854373213,4,0,0.399515689,4,0
MS,1790618,2009821,2183796,2178914,2178141,2233848,2520638,2586443,2852927,2978240,2966786,2963914,-0.10%,,3,3.464101615,3.5,3.893898366,0.893898366,4,X,3.884581825,4,0,0.42979675,4,0
HI,0,0,0,0,632772,784901,965000,1115274,1216642,1366862,1407006,1460137,3.78%,,1,1.414213562,1.5,1.918282743,0.918282743,2,X,1.91369306,2,0,0.504069181,2,0
IN,2930390,3238503,3427796,3934224,4662498,5228156,5490179,5564228,6090782,6501582,6754953,6790280,0.52%,,8,8.485281374,8.5,8.920859443,0.920859443,9,X,8.899515395,9,0,0.435578068,9,0
KY,2416630,2614589,2845627,2944806,3038156,3246481,3661433,3698969,4049431,4350606,4477251,4509342,0.72%,,5,5.477225575,5.5,5.924233781,0.924233781,6,X,5.91005946,6,0,0.447008206,6,0
AR,1752204,1854482,1949387,1909511,1786272,1942303,2285513,2362239,2679733,2926229,3030522,3013756,-0.55%,,3,3.464101615,3.5,3.959379241,0.959379241,4,X,3.94990603,4,0,0.495277626,4,0
AK,0,0,0,0,226167,304067,400481,551947,628933,721523,731158,736081,0.67%,,0,1,0.5,0.967040408,0.967040408,1,X,0.964726667,1,0,-0.032959592,1,0
CA,3426861,5677251,6907387,10586223,15717204,20098863,23668562,29839250,33930798,37341989,39368078,39576757,0.53%,,51,51.49757276,51.5,51.99471692,0.994716918,52,X,51.87031436,52,0,0.49714416,52,0
,,,,,,,,,,,328771307,331108434,0.71%,,410,435.0351977,410.5,,-410,437,,,435,,-435.0351977,435,0
,,,,,,,,,,,,331902544,,,,,0.5,,0,,,,,,0,0,0