stcd,st_name,pop2019,h2010
AL,Alabama,4903185,7
AK,Alaska,731545,1
AZ,Arizona,7278717,9
AR,Arkansas,3017804,4
CA,California,39512223,53
CO,Colorado,5758736,7
CT,Connecticut,3565287,5
DE,Delaware,973764,1
DC,District of Columbia,705749,0
FL,Florida,21477737,27
GA,Georgia,10617423,14
HI,Hawaii,1415872,2
ID,Idaho,1787065,2
IL,Illinois,12671821,18
IN,Indiana,6732219,9
IA,Iowa,3155070,4
KS,Kansas,2913314,4
KY,Kentucky,4467673,6
LA,Louisiana,4648794,6
ME,Maine,1344212,2
MD,Maryland,6045680,8
MA,Massachusetts,6892503,9
MI,Michigan,9986857,14
MN,Minnesota,5639632,8
MS,Mississippi,2976149,4
MO,Missouri,6137428,8
MT,Montana,1068778,1
NE,Nebraska,1934408,3
NV,Nevada,3080156,4
NH,New Hampshire,1359711,2
NJ,New Jersey,8882190,12
NM,New Mexico,2096829,3
NY,New York,19453561,27
NC,North Carolina,10488084,13
ND,North Dakota,762062,1
OH,Ohio,11689100,16
OK,Oklahoma,3956971,5
OR,Oregon,4217737,5
PA,Pennsylvania,12801989,18
RI,Rhode Island,1059361,2
SC,South Carolina,5148714,7
SD,South Dakota,884659,1
TN,Tennessee,6829174,9
TX,Texas,28995881,36
UT,Utah,3205958,4
VT,Vermont,623989,1
VA,Virginia,8535519,11
WA,Washington,7614893,10
WV,West Virginia,1792147,3
WI,Wisconsin,5822434,8
WY,Wyoming,578759,1