stcd,popest_2020-12-22,apportion_2010
AL,4921532,7
AK,731158,1
AZ,7421401,9
AR,3030522,4
CA,39368078,53
CO,5807719,7
CT,3557006,5
DE,986809,1
DC,712816,0
FL,21733312,27
GA,10710017,14
HI,1407006,2
ID,1826913,2
IL,12587530,18
IN,6754953,9
IA,3163561,4
KS,2913805,4
KY,4477251,6
LA,4645318,6
ME,1350141,2
MD,6055802,8
MA,6893574,9
MI,9966555,14
MN,5657342,8
MS,2966786,4
MO,6151548,8
MT,1080577,1
NE,1937552,3
NV,3138259,4
NH,1366275,2
NJ,8882371,12
NM,2106319,3
NY,19336776,27
NC,10600823,13
ND,765309,1
OH,11693217,16
OK,3980783,5
OR,4241507,5
PA,12783254,18
RI,1057125,2
SC,5218040,7
SD,892717,1
TN,6886834,9
TX,29360759,36
UT,3249879,4
VT,623347,1
VA,8590563,11
WA,7693612,10
WV,1784787,3
WI,5832655,8
WY,582328,1